ST,PWGTP,AGEP,WAGP,WKHP,YOEP,FOD1P,NATIVITY,WAOB,weeks,race,hispanic,ftfy,fulltime,female,baby
01,51,36,50000,40,,3700,1,1,1,1,0,1,1,0,
01,38,34,4000,10,,3606,1,1,2,1,0,0,0,1,0
01,184,30,50000,40,,2602,1,1,1,1,0,1,1,1,0
01,180,31,80000,60,,6004,1,1,1,1,0,1,1,0,
01,92,33,45000,40,,6107,1,1,1,1,0,1,1,1,0
01,160,31,800,16,,2602,1,1,6,1,0,0,0,1,1
01,87,30,48000,40,,1904,1,1,1,1,0,1,1,1,0
01,113,31,40000,40,,5301,1,1,1,1,0,1,1,1,0
01,79,39,267000,50,,5601,1,1,1,1,0,1,1,0,
01,178,34,24000,40,2008,6105,2,4,1,3,0,1,1,0,
01,62,35,30000,60,,5301,1,1,1,1,0,1,1,0,
01,90,36,37400,40,,5200,1,1,1,1,0,1,1,1,0
01,125,32,14400,24,,6203,1,1,1,1,0,0,0,1,0
01,70,32,50000,50,,5601,1,1,1,1,0,1,1,0,
01,74,40,4000,30,,5507,1,1,1,1,0,0,0,1,0
01,100,34,55000,40,,6107,1,1,1,1,0,1,1,1,0
01,52,40,60000,45,,1301,1,1,1,1,0,1,1,0,
01,93,40,13000,35,,5200,1,1,1,1,0,0,0,1,0
01,71,40,93000,40,,1901,1,1,1,1,0,1,1,0,
01,187,30,28000,60,,1901,1,1,1,1,0,1,1,0,
01,103,38,60000,50,,6200,1,1,1,1,0,1,1,0,
01,95,34,60000,40,,2100,1,1,1,2,0,1,1,1,0
01,227,37,42000,40,,6201,1,1,1,2,0,1,1,1,0
01,59,32,35000,42,,1901,1,1,1,2,0,1,1,1,0
01,53,40,72000,50,,6203,1,1,1,1,0,1,1,0,
01,86,40,60000,44,,2306,1,1,1,1,0,1,1,0,
01,60,31,45000,40,,1903,1,1,1,1,0,1,1,1,0
01,72,35,85000,45,,2405,1,1,1,1,0,1,1,0,
01,99,32,80000,40,,6212,1,1,1,1,0,1,1,1,0
01,76,32,80000,45,,3600,1,1,1,1,0,1,1,0,
01,86,37,53000,40,,6107,1,1,1,1,0,1,1,1,0
01,78,30,28000,40,,6211,1,1,1,1,0,1,1,1,0
01,68,39,102000,50,,2599,1,1,1,1,0,1,1,0,
01,318,33,64000,40,,6201,1,1,1,1,0,1,1,0,
01,232,34,45000,40,,6107,1,1,1,2,0,1,1,1,0
01,90,33,40000,40,,6107,1,1,1,1,0,1,1,1,0
01,64,40,26600,44,,3600,1,1,5,2,0,0,1,1,0
01,58,34,12500,45,,3600,1,1,6,1,0,0,1,1,0
01,69,38,70000,40,,5507,1,1,1,1,0,1,1,0,
01,101,34,85000,60,,6203,1,1,1,1,0,1,1,0,
01,74,39,86000,40,,6203,1,1,1,2,0,1,1,0,
01,211,37,9600,32,2008,6200,2,4,3,3,0,0,0,1,0
01,80,31,5500,1,,6200,1,1,6,1,0,0,0,1,1
