code_numeric,fhpolrigaug,lrgdpch,laborshare,lpop,socialist,medage,year
56,0.39,7.471501,0.535599,10.28838,0,18.3,1965
56,0.1666667,7.585579,0.4564555,10.40587,0,18.9,1970
56,0.1666667,7.43298,0.544825,10.49927,0,19.1,1975
56,0.3333333,7.793143,0.5959941,10.61827,0,19.2,1980
56,0.5,7.925966,0.3609217,10.74744,0,19,1985
56,0.3333333,8.084625,0.2903152,10.86746,0,19.3,1990
56,0.1666667,8.190038,NA,10.9713,0,20.1,1995
56,0.1666667,8.339016,NA,11.06626,0,21.3,2000
57,NA,NA,NA,7.258412,0,17.6,1960
57,NA,NA,NA,7.382746,0,17.7,1965
57,NA,NA,NA,7.512618,0,17.7,1970
