hsgpa,psu,entercollege,privatehs,hidad,himom,over475
63,580.5,1,0,1,1,1
64,554.5,0,0,1,0,1
61,540,1,0,0,0,1
59,584,1,0,0,1,1
62,564.5,0,0,1,1,1
56,475.5,0,0,0,0,1
57,500,1,0,0,1,1
58,579.5,1,0,1,0,1
52,423,0,0,0,0,0
51,649.5,1,0,1,1,1
65,668,0,0,1,1,1
56,506,0,0,0,0,1
59,551,1,0,0,0,1
52,474.5,0,0,0,0,0
56,502.5,1,0,1,1,1
57,348.5,1,0,0,0,0
61,538,1,0,1,1,1
49,536.5,0,0,0,0,1
48,380.5,0,0,0,0,0
63,684.5,1,0,0,1,1
57,575,1,0,0,0,1
55,374,0,0,0,0,0
56,401,0,0,0,0,0
56,493,0,0,0,1,1
60,498,0,0,0,1,1
49,468,1,0,0,0,0
56,489,1,0,0,0,1
61,636,1,0,1,1,1
62,677,1,1,1,1,1
57,452.5,0,0,0,0,0
51,338.5,0,0,1,0,0
62,592,1,0,1,1,1
60,446,0,0,0,0,0
64,566.5,1,0,0,0,1
52,402.5,0,0,0,0,0
56,572,0,0,0,1,1
59,472,0,0,0,0,0
53,432,0,0,0,0,0
55,438,0,0,0,0,0
61,508,1,0,0,0,1
64,648.5,1,1,0,1,1
56,455,0,0,0,0,0
66,536.5,1,0,0,0,1
62,570.5,0,0,0,0,1
52,406.5,0,0,0,0,0
64,620.5,0,0,0,1,1
49,432,0,1,1,1,0
55,410,0,0,0,0,0
53,528,0,0,0,0,1
57,496.5,0,0,1,0,1
54,614.5,0,0,1,1,1
61,545,0,0,0,0,1
54,453,0,0,0,1,0
54,405,0,0,0,0,0
59,425.5,0,0,0,0,0
48,466.5,0,0,0,1,0
0,341,0,0,0,0,0
60,431.5,0,0,0,0,0
53,386.5,0,0,0,0,0
61,426.5,0,0,0,0,0
62,699.5,1,1,1,1,1
58,440.5,0,0,0,0,0
55,321.5,0,0,0,0,0
61,441,1,0,0,0,0
61,403.5,0,0,0,0,0
63,448.5,0,0,0,0,0
55,393,0,0,0,0,0
61,421.5,0,0,0,0,0
0,377,0,0,0,0,0
63,396,0,0,0,0,0
58,370.5,0,0,0,0,0
55,415,0,0,0,0,0
62,433,0,0,0,0,0
61,517,1,0,1,0,1
54,497,1,0,0,0,1
62,615.5,1,0,0,0,1
56,431.5,0,0,0,0,0
59,479.5,0,0,0,0,1
55,376.5,0,0,0,0,0
61,336.5,0,0,0,0,0
58,461.5,0,0,1,0,0
59,457,0,0,0,0,0
59,558,1,0,0,0,1
61,456,0,0,0,0,0
49,419,0,0,0,0,0
57,605,0,0,0,0,1
56,503,1,0,0,0,1
56,467,1,0,0,0,0
56,580,1,0,0,1,1
53,399.5,0,0,0,1,0
55,559.5,1,0,1,0,1
55,512,1,0,0,0,1
53,440,0,0,1,0,0
62,581.5,1,0,0,0,1
66,597.5,1,0,1,0,1
66,593,1,0,0,0,1
58,573,1,0,0,0,1
64,686.5,1,0,0,0,1
50,475.5,0,0,0,0,1
59,542,0,0,0,0,1
61,394.5,0,0,0,0,0
49,428.5,1,0,0,0,0
58,511,1,0,0,0,1
55,563.5,1,0,1,0,1
57,451,0,0,0,0,0
58,526.5,1,0,1,0,1
51,349,0,0,0,0,0
55,324,0,0,0,0,0
68,592.5,1,0,0,0,1
57,328.5,0,0,0,0,0
61,602,1,0,0,0,1
